# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-19 04:36:13 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07374000 Mississippi River at Baton Rouge, LA
# -----------------------------------------------------------------------------------
#
# Data provided for site 07374000
#            TS   parameter     Description
#         62512       00010     Temperature, water, degrees Celsius
#         62515       00400     pH, water, unfiltered, field, standard units
#         62516       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#         62518       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd,site_no,datetime,tz_cd,62512_00010,62512_00010_cd,62515_00400,62515_00400_cd,62516_63680,62516_63680_cd,62518_00300,62518_00300_cd
USGS,07374000,2014-10-04 23:00,CDT,23.5,A,7.9,A,81.0,A,7.2,A
USGS,07374000,2014-10-05 00:00,CDT,23.5,A,7.9,A,84.0,A,7.2,A
USGS,07374000,2014-10-05 01:00,CDT,23.5,A,7.9,A,80.0,A,7.2,A
USGS,07374000,2014-10-05 02:00,CDT,23.4,A,7.9,A,77.0,A,7.2,A
USGS,07374000,2014-10-05 03:00,CDT,23.4,A,7.9,A,76.0,A,7.2,A
USGS,07374000,2014-10-05 04:00,CDT,23.4,A,7.9,A,79.0,A,7.2,A
USGS,07374000,2014-10-05 05:00,CDT,23.4,A,7.9,A,88.0,A,7.2,A
USGS,07374000,2014-10-05 06:00,CDT,23.4,A,7.9,A,74.0,A,7.2,A
USGS,07374000,2014-10-05 07:00,CDT,23.3,A,7.9,A,75.0,A,7.2,A
USGS,07374000,2014-10-05 08:00,CDT,23.3,A,7.9,A,78.0,A,7.2,A
USGS,07374000,2014-10-05 09:00,CDT,23.3,A,7.9,A,84.0,A,7.2,A
USGS,07374000,2014-10-05 10:00,CDT,23.4,A,7.9,A,78.0,A,7.2,A
USGS,07374000,2014-10-05 11:00,CDT,23.4,A,7.9,A,85.0,A,7.2,A
USGS,07374000,2014-10-05 12:00,CDT,23.5,A,7.9,A,110,A,7.2,A
USGS,07374000,2014-10-05 13:00,CDT,23.6,A,7.9,A,93.0,A,7.2,A
USGS,07374000,2014-10-05 14:00,CDT,23.6,A,7.9,A,78.0,A,7.2,A
USGS,07374000,2014-10-05 15:00,CDT,23.7,A,7.9,A,81.0,A,7.2,A
USGS,07374000,2014-10-05 16:00,CDT,23.6,A,7.9,A,73.0,A,7.3,A
USGS,07374000,2014-10-05 17:00,CDT,23.6,A,7.9,A,88.0,A,7.2,A
USGS,07374000,2014-10-05 18:00,CDT,23.5,A,7.9,A,88.0,A,7.3,A
USGS,07374000,2014-10-05 19:00,CDT,23.5,A,7.9,A,78.0,A,7.3,A
USGS,07374000,2014-10-05 20:00,CDT,23.4,A,7.9,A,86.0,A,7.3,A
USGS,07374000,2014-10-05 21:00,CDT,23.4,A,7.9,A,75.0,A,7.2,A
USGS,07374000,2014-10-05 22:00,CDT,23.4,A,7.9,A,72.0,A,7.2,A
USGS,07374000,2014-10-05 23:00,CDT,23.4,A,7.9,A,69.0,A,7.2,A
USGS,07374000,2014-10-06 00:00,CDT,23.4,A,7.9,A,67.0,A,7.2,A
USGS,07374000,2014-10-06 01:00,CDT,23.4,A,7.9,A,67.0,A,7.2,A
USGS,07374000,2014-10-06 02:00,CDT,23.4,A,7.9,A,69.0,A,7.2,A
USGS,07374000,2014-10-06 03:00,CDT,23.4,A,7.9,A,76.0,A,7.2,A
USGS,07374000,2014-10-06 04:00,CDT,23.3,A,7.9,A,80.0,A,7.2,A
USGS,07374000,2014-10-06 05:00,CDT,23.3,A,7.9,A,69.0,A,7.2,A
USGS,07374000,2014-10-06 06:00,CDT,23.3,A,7.9,A,69.0,A,7.2,A
USGS,07374000,2014-10-06 07:00,CDT,23.3,A,7.9,A,61.0,A,7.2,A
USGS,07374000,2014-10-06 08:00,CDT,23.3,A,7.9,A,63.0,A,7.2,A
USGS,07374000,2014-10-06 09:00,CDT,23.3,A,7.9,A,67.0,A,7.2,A
USGS,07374000,2014-10-06 10:00,CDT,23.4,A,7.9,A,66.0,A,7.2,A
USGS,07374000,2014-10-06 11:00,CDT,23.4,A,7.9,A,68.0,A,7.2,A
USGS,07374000,2014-10-06 12:00,CDT,23.5,A,7.9,A,73.0,A,7.2,A
USGS,07374000,2014-10-06 13:00,CDT,23.5,A,7.9,A,70.0,A,7.3,A
USGS,07374000,2014-10-06 14:00,CDT,23.5,A,7.9,A,68.0,A,7.3,A
USGS,07374000,2014-10-06 15:00,CDT,23.5,A,7.9,A,66.0,A,7.3,A
USGS,07374000,2014-10-06 16:00,CDT,23.4,A,7.9,A,66.0,A,7.3,A
USGS,07374000,2014-10-06 17:00,CDT,23.4,A,8.0,A,61.0,A,7.3,A
USGS,07374000,2014-10-06 18:00,CDT,23.4,A,8.0,A,70.0,A,7.3,A
USGS,07374000,2014-10-06 19:00,CDT,23.4,A,7.9,A,77.0,A,7.3,A
USGS,07374000,2014-10-06 20:00,CDT,23.4,A,7.9,A,58.0,A,7.3,A
USGS,07374000,2014-10-06 21:00,CDT,23.3,A,7.9,A,72.0,A,7.3,A
USGS,07374000,2014-10-06 22:00,CDT,23.3,A,8.0,A,60.0,A,7.3,A
USGS,07374000,2014-10-06 23:00,CDT,23.3,A,7.9,A,58.0,A,7.3,A
USGS,07374000,2014-10-07 00:00,CDT,23.3,A,7.9,A,58.0,A,7.3,A
USGS,07374000,2014-10-07 01:00,CDT,23.3,A,7.9,A,60.0,A,7.3,A
USGS,07374000,2014-10-07 02:00,CDT,23.3,A,7.9,A,75.0,A,7.3,A
USGS,07374000,2014-10-07 03:00,CDT,23.3,A,7.9,A,67.0,A,7.3,A
USGS,07374000,2014-10-07 04:00,CDT,23.2,A,7.9,A,63.0,A,7.3,A
USGS,07374000,2014-10-07 05:00,CDT,23.2,A,7.9,A,73.0,A,7.3,A
USGS,07374000,2014-10-07 06:00,CDT,23.2,A,7.9,A,73.0,A,7.3,A
USGS,07374000,2014-10-07 07:00,CDT,23.2,A,7.9,A,58.0,A,7.3,A
USGS,07374000,2014-10-07 08:00,CDT,23.2,A,7.9,A,61.0,A,7.3,A
USGS,07374000,2014-10-07 09:00,CDT,23.2,A,7.9,A,62.0,A,7.3,A
USGS,07374000,2014-10-07 10:00,CDT,23.3,A,7.9,A,59.0,A,7.3,A
USGS,07374000,2014-10-07 11:00,CDT,23.4,A,7.9,A,83.0,A,7.2,A
USGS,07374000,2014-10-07 12:00,CDT,23.4,A,7.9,A,62.0,A,7.2,A
USGS,07374000,2014-10-07 13:00,CDT,23.5,A,7.9,A,72.0,A,7.2,A
USGS,07374000,2014-10-07 14:00,CDT,23.6,A,7.9,A,67.0,A,7.2,A
USGS,07374000,2014-10-07 15:00,CDT,23.6,A,7.9,A,63.0,A,7.2,A
USGS,07374000,2014-10-07 16:00,CDT,23.5,A,7.9,A,70.0,A,7.2,A
USGS,07374000,2014-10-07 17:00,CDT,23.5,A,7.9,A,58.0,A,7.2,A
USGS,07374000,2014-10-07 18:00,CDT,23.4,A,7.9,A,57.0,A,7.2,A
USGS,07374000,2014-10-07 19:00,CDT,23.4,A,7.9,A,66.0,A,7.2,A
USGS,07374000,2014-10-07 20:00,CDT,23.4,A,7.9,A,68.0,A,7.2,A
USGS,07374000,2014-10-07 21:00,CDT,23.3,A,7.9,A,59.0,A,7.2,A
USGS,07374000,2014-10-07 22:00,CDT,23.3,A,7.9,A,60.0,A,7.2,A
USGS,07374000,2014-10-07 23:00,CDT,23.3,A,7.9,A,68.0,A,7.2,A
USGS,07374000,2014-10-08 00:00,CDT,23.3,A,7.9,A,62.0,A,7.2,A
USGS,07374000,2014-10-08 01:00,CDT,23.3,A,7.9,A,65.0,A,7.2,A
USGS,07374000,2014-10-08 02:00,CDT,23.3,A,7.9,A,60.0,A,7.2,A
USGS,07374000,2014-10-08 03:00,CDT,23.3,A,7.9,A,53.0,A,7.2,A
USGS,07374000,2014-10-08 04:00,CDT,23.3,A,8.0,A,53.0,A,7.2,A
USGS,07374000,2014-10-08 05:00,CDT,23.2,A,7.9,A,51.0,A,7.2,A
USGS,07374000,2014-10-08 06:00,CDT,23.2,A,7.9,A,55.0,A,7.2,A
USGS,07374000,2014-10-08 07:00,CDT,23.2,A,7.9,A,65.0,A,7.2,A
USGS,07374000,2014-10-08 08:00,CDT,23.2,A,7.9,A,54.0,A,7.2,A
USGS,07374000,2014-10-08 09:00,CDT,23.2,A,7.9,A,62.0,A,7.2,A
USGS,07374000,2014-10-08 10:00,CDT,23.3,A,8.0,A,61.0,A,7.2,A
USGS,07374000,2014-10-08 11:00,CDT,23.4,A,8.0,A,66.0,A,7.2,A
USGS,07374000,2014-10-08 12:00,CDT,23.4,A,8.0,A,53.0,A,7.2,A
USGS,07374000,2014-10-08 13:00,CDT,23.5,A,8.0,A,58.0,A,7.2,A
USGS,07374000,2014-10-08 14:00,CDT,23.4,A,8.0,A,52.0,A,7.2,A
USGS,07374000,2014-10-08 15:00,CDT,23.5,A,8.0,A,62.0,A,7.2,A
USGS,07374000,2014-10-08 16:00,CDT,23.5,A,8.0,A,71.0,A,7.2,A
USGS,07374000,2014-10-08 17:00,CDT,23.6,A,8.0,A,72.0,A,7.2,A
USGS,07374000,2014-10-08 18:00,CDT,23.4,A,8.0,A,68.0,A,7.3,A
USGS,07374000,2014-10-08 19:00,CDT,23.4,A,8.0,A,59.0,A,7.3,A
USGS,07374000,2014-10-08 20:00,CDT,23.3,A,8.0,A,53.0,A,7.3,A
USGS,07374000,2014-10-08 21:00,CDT,23.3,A,8.0,A,52.0,A,7.3,A
USGS,07374000,2014-10-08 22:00,CDT,23.3,A,8.0,A,50.0,A,7.3,A
USGS,07374000,2014-10-08 23:00,CDT,23.4,A,8.0,A,50.0,A,7.3,A
USGS,07374000,2014-10-09 00:00,CDT,23.4,A,8.0,A,43.0,A,7.3,A
USGS,07374000,2014-10-09 01:00,CDT,23.4,A,8.0,A,53.0,A,7.3,A
USGS,07374000,2014-10-09 02:00,CDT,23.4,A,8.0,A,53.0,A,7.3,A
USGS,07374000,2014-10-09 03:00,CDT,23.4,A,8.0,A,43.0,A,7.3,A
USGS,07374000,2014-10-09 04:00,CDT,23.4,A,8.0,A,46.0,A,7.3,A
USGS,07374000,2014-10-09 05:00,CDT,23.3,A,8.0,A,48.0,A,7.3,A
USGS,07374000,2014-10-09 06:00,CDT,23.3,A,8.0,A,46.0,A,7.3,A
USGS,07374000,2014-10-09 07:00,CDT,23.3,A,8.0,A,45.0,A,7.3,A
USGS,07374000,2014-10-09 08:00,CDT,23.3,A,8.0,A,50.0,A,7.3,A
USGS,07374000,2014-10-09 09:00,CDT,23.3,A,8.0,A,54.0,A,7.3,A
USGS,07374000,2014-10-09 10:00,CDT,23.4,A,8.0,A,55.0,A,7.3,A
USGS,07374000,2014-10-09 11:00,CDT,23.4,A,8.0,A,58.0,A,7.3,A
USGS,07374000,2014-10-09 12:00,CDT,23.5,A,8.0,A,58.0,A,7.3,A
USGS,07374000,2014-10-09 13:00,CDT,23.6,A,8.0,A,81.0,A,7.3,A
USGS,07374000,2014-10-09 14:00,CDT,23.6,A,8.0,A,58.0,A,7.3,A
USGS,07374000,2014-10-09 15:00,CDT,23.6,A,8.0,A,64.0,A,7.3,A
USGS,07374000,2014-10-09 16:00,CDT,23.6,A,8.0,A,53.0,A,7.4,A
USGS,07374000,2014-10-09 17:00,CDT,23.5,A,8.0,A,65.0,A,7.4,A
USGS,07374000,2014-10-09 18:00,CDT,23.5,A,8.0,A,84.0,A,7.4,A
USGS,07374000,2014-10-09 19:00,CDT,23.4,A,8.0,A,55.0,A,7.4,A
USGS,07374000,2014-10-09 20:00,CDT,23.4,A,8.0,A,54.0,A,7.4,A
USGS,07374000,2014-10-09 21:00,CDT,23.4,A,8.0,A,56.0,A,7.3,A
USGS,07374000,2014-10-09 22:00,CDT,23.4,A,8.0,A,49.0,A,7.3,A
USGS,07374000,2014-10-09 23:00,CDT,23.4,A,8.0,A,43.0,A,7.4,A
USGS,07374000,2014-10-10 00:00,CDT,23.4,A,8.0,A,45.0,A,7.4,A
USGS,07374000,2014-10-10 01:00,CDT,23.4,A,8.0,A,42.0,A,7.3,A
USGS,07374000,2014-10-10 02:00,CDT,23.4,A,8.0,A,,,7.4,A
USGS,07374000,2014-10-10 03:00,CDT,23.4,A,8.0,A,50.0,A,7.4,A
USGS,07374000,2014-10-10 04:00,CDT,23.4,A,8.0,A,51.0,A,7.4,A
USGS,07374000,2014-10-10 05:00,CDT,23.4,A,8.0,A,52.0,A,7.3,A
USGS,07374000,2014-10-10 06:00,CDT,23.4,A,8.0,A,55.0,A,7.3,A
USGS,07374000,2014-10-10 07:00,CDT,23.4,A,8.0,A,46.0,A,7.3,A
USGS,07374000,2014-10-10 08:00,CDT,23.4,A,8.0,A,43.0,A,7.3,A
USGS,07374000,2014-10-10 09:00,CDT,23.4,A,8.0,A,40.0,A,7.4,A
USGS,07374000,2014-10-10 10:00,CDT,23.4,A,8.0,A,63.0,A,7.4,A
USGS,07374000,2014-10-10 11:00,CDT,23.4,A,8.0,A,46.0,A,7.4,A
USGS,07374000,2014-10-10 12:00,CDT,23.6,A,8.0,A,47.0,A,7.4,A
USGS,07374000,2014-10-10 13:00,CDT,23.7,A,8.0,A,53.0,A,7.4,A
USGS,07374000,2014-10-10 14:00,CDT,23.6,A,8.0,A,62.0,A,7.4,A
USGS,07374000,2014-10-10 15:00,CDT,23.7,A,8.0,A,50.0,A,7.4,A
USGS,07374000,2014-10-10 16:00,CDT,23.7,A,8.0,A,48.0,A,7.4,A
USGS,07374000,2014-10-10 17:00,CDT,23.7,A,8.0,A,50.0,A,7.4,A
USGS,07374000,2014-10-10 18:00,CDT,23.6,A,8.0,A,48.0,A,7.4,A
USGS,07374000,2014-10-10 19:00,CDT,23.6,A,8.0,A,48.0,A,7.4,A
USGS,07374000,2014-10-10 20:00,CDT,23.5,A,8.0,A,44.0,A,7.4,A
USGS,07374000,2014-10-10 21:00,CDT,23.5,A,8.0,A,42.0,A,7.4,A
USGS,07374000,2014-10-10 22:00,CDT,23.5,A,8.0,A,45.0,A,7.4,A
USGS,07374000,2014-10-10 23:00,CDT,23.5,A,8.0,A,47.0,A,7.4,A
USGS,07374000,2014-10-11 00:00,CDT,23.5,A,8.0,A,45.0,A,7.4,A
USGS,07374000,2014-10-11 01:00,CDT,23.5,A,8.0,A,50.0,A,7.4,A
USGS,07374000,2014-10-11 02:00,CDT,23.4,A,8.0,A,56.0,A,7.4,A
USGS,07374000,2014-10-11 03:00,CDT,23.4,A,8.0,A,58.0,A,7.4,A
USGS,07374000,2014-10-11 04:00,CDT,23.4,A,8.0,A,41.0,A,7.4,A
USGS,07374000,2014-10-11 05:00,CDT,23.4,A,8.0,A,44.0,A,7.4,A
USGS,07374000,2014-10-11 06:00,CDT,23.4,A,8.0,A,46.0,A,7.4,A
USGS,07374000,2014-10-11 07:00,CDT,23.4,A,8.0,A,46.0,A,7.4,A
USGS,07374000,2014-10-11 08:00,CDT,23.4,A,8.0,A,38.0,A,7.4,A
USGS,07374000,2014-10-11 09:00,CDT,23.4,A,8.0,A,41.0,A,7.4,A
USGS,07374000,2014-10-11 10:00,CDT,23.5,A,8.0,A,52.0,A,7.4,A
USGS,07374000,2014-10-11 11:00,CDT,23.6,A,8.0,A,45.0,A,7.4,A
USGS,07374000,2014-10-11 12:00,CDT,23.6,A,8.0,A,42.0,A,7.4,A
USGS,07374000,2014-10-11 13:00,CDT,23.7,A,8.0,A,59.0,A,7.4,A
USGS,07374000,2014-10-11 14:00,CDT,23.7,A,8.0,A,45.0,A,7.4,A
USGS,07374000,2014-10-11 15:00,CDT,23.7,A,8.0,A,53.0,A,7.4,A
USGS,07374000,2014-10-11 16:00,CDT,23.7,A,8.0,A,50.0,A,7.4,A
USGS,07374000,2014-10-11 17:00,CDT,23.7,A,8.0,A,44.0,A,7.4,A
USGS,07374000,2014-10-11 18:00,CDT,23.6,A,8.0,A,46.0,A,7.4,A
USGS,07374000,2014-10-11 19:00,CDT,23.5,A,8.0,A,44.0,A,7.4,A
USGS,07374000,2014-10-11 20:00,CDT,23.5,A,8.0,A,43.0,A,7.4,A
USGS,07374000,2014-10-11 21:00,CDT,23.5,A,8.0,A,46.0,A,7.4,A
USGS,07374000,2014-10-11 22:00,CDT,23.5,A,8.0,A,40.0,A,7.4,A
USGS,07374000,2014-10-11 23:00,CDT,23.5,A,8.0,A,41.0,A,7.4,A
USGS,07374000,2014-10-12 00:00,CDT,23.5,A,8.0,A,40.0,A,7.4,A
USGS,07374000,2014-10-12 01:00,CDT,23.5,A,8.0,A,47.0,A,7.4,A
USGS,07374000,2014-10-12 02:00,CDT,23.5,A,8.0,A,45.0,A,7.4,A
USGS,07374000,2014-10-12 03:00,CDT,23.5,A,8.0,A,42.0,A,7.4,A
USGS,07374000,2014-10-12 04:00,CDT,23.5,A,8.0,A,36.0,A,7.4,A
USGS,07374000,2014-10-12 05:00,CDT,23.5,A,8.0,A,43.0,A,7.4,A
USGS,07374000,2014-10-12 06:00,CDT,23.5,A,8.0,A,43.0,A,7.4,A
